iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
122,executor,1663952843875,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.49232,None,None,None,20
123,executor,1663952843876,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.492288,None,None,None,20
140,executor,1663952848145,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
141,executor,1663952848146,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
142,executor,1663952848146,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
143,executor,1663952848147,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
144,executor,1663952848147,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
145,executor,1663952848148,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
146,executor,1663952848149,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
147,executor,1663952848149,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
148,executor,1663952848150,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
149,executor,1663952848150,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
150,executor,1663952848151,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
151,executor,1663952848151,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
152,executor,1663952848152,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
153,executor,1663952848152,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
154,executor,1663952848153,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
155,executor,1663952848153,9a98e2edd6bcb9e1af54ace4f32e2710d033f805c5260858dffc849b8046aad1,32266645d66899bc2dc24fd732305badf1460ca84d74749334596ad19ed6c3db,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 2)]",Some(CODE_GENERATION_ERROR),-1,None,None,None,20
171,executor,1663952877564,7161a4ad21832128e0dd2fd5dffc9974c6312d3adbbbb87ecf7ba9b21a513417,f208ee05dfa0930778e838fab4afa5321dc92f8be75d249cd1c773fbb54400c2,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(mapGlobal(0), 0)]",None,0.06464,None,None,None,20
172,executor,1663952877565,7161a4ad21832128e0dd2fd5dffc9974c6312d3adbbbb87ecf7ba9b21a513417,f208ee05dfa0930778e838fab4afa5321dc92f8be75d249cd1c773fbb54400c2,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(mapGlobal(0), 0)]",None,0.007552,None,None,None,20
173,executor,1663952877566,7161a4ad21832128e0dd2fd5dffc9974c6312d3adbbbb87ecf7ba9b21a513417,f208ee05dfa0930778e838fab4afa5321dc92f8be75d249cd1c773fbb54400c2,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(mapGlobal(0), 0)]",None,0.004544,None,None,None,20
174,executor,1663952877566,7161a4ad21832128e0dd2fd5dffc9974c6312d3adbbbb87ecf7ba9b21a513417,f208ee05dfa0930778e838fab4afa5321dc92f8be75d249cd1c773fbb54400c2,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(mapGlobal(0), 0)]",None,0.031584,None,None,None,20
175,executor,1663952877567,7161a4ad21832128e0dd2fd5dffc9974c6312d3adbbbb87ecf7ba9b21a513417,f208ee05dfa0930778e838fab4afa5321dc92f8be75d249cd1c773fbb54400c2,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(mapGlobal(0), 0)]",None,0.034496,None,None,None,20
176,executor,1663952877567,7161a4ad21832128e0dd2fd5dffc9974c6312d3adbbbb87ecf7ba9b21a513417,f208ee05dfa0930778e838fab4afa5321dc92f8be75d249cd1c773fbb54400c2,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(mapGlobal(0), 0)]",None,0.006304,None,None,None,20
